[characters]
character aramis "Aramis" baramis aramis
portrait 0 0
abilities "Tricks"
combataction combSteal
basestats 7 10 4 2
level 5
equip knife
equip felthat
equip cottonshirt
ability poisonjab
lability dblattack 6
endcharacter
#
character joy "Joy" bjoy joy
portrait 2 0
abilities "Magic"
combataction combAuras
basestats 3 3 6 10
level 6
equip silverstaff
equip felthat
equip cottonshirt
endcharacter
#
character luc "Luc" bluc luc
portrait 1 0
abilities "Swordplay"
ability assault
lability zornhau 6
combataction combStance
basestats 10 4 7 2
level 5
equip silversword
equip felthat
equip cottonshirt
endcharacter
#
character roland "Roland" broland roland
portrait 0 0
abilities "Ice Magic"
combataction combDragonForm
basestats 3 7 3 10
level 99
equip knife
equip felthat
equip cottonshirt
ability frostwish
endcharacter
